AAN|1|Al Ain
AAT|2|Altay
AAY|3|Al Ghaydah
ABA|4|Abakan
ABD|5|Abadan
ABT|6|Al-Baha
ADE|7|Aden
ADH|8|Aldan
ADU|9|Ardabil
AGJ|10|Aguni
AGR|11|Agra
AHB|12|Abha
AJF|13|Jouf
AJL|14|Aizawl
AKA|15|Ankang
AKJ|16|Asahikawa
AKU|17|Aksu
AKX|18|Aktyubinsk
AKY|19|Sittwe
ALA|20|Almaty
ALP|21|Aleppo
AMD|22|Ahmedabad
AMI|23|Mataram
AMM|24|Amman
AMQ|25|Ambon
AMV|26|Amderma
AOJ|27|Aomori
AOR|28|Alor Setar
AQG|29|Anqing
AQI|30|Qaisumah
AQJ|31|Aqaba
ASB|32|Ashgabat
ASJ|33|Amami O Shima
ATQ|34|Amritsar
AUH|35|Abu Dhabi
AVK|36|Arvaikheer
AWZ|37|Ahwaz
AXK|38|Ataq
AXT|39|Akita
AZD|40|Yazd
AZN|41|Andizhan
BAG|42|Baguio
BAH|43|Bahrain
BAV|44|Baotou
BAX|45|Barnaul
BBI|46|Bhubaneswar
BBM|47|Battambang
BBN|48|Bario
BCD|49|Bacolod
BDH|50|Bandar Lengeh
BDJ|51|Banjarmasin
BDO|52|Bandung
BDQ|53|Vadodara
BEJ|54|Berau
BEY|55|Beirut
BFV|56|Buri Ram
BHH|57|Bisha
BHJ|58|Bhuj
BHK|59|Bukhara
BHO|60|Bhopal
BHR|61|Bharatpur
BHU|62|Bhavnagar
BHV|63|Bahawalpur
BHY|64|Beihai
BIK|65|Biak
BIN|66|Bamiyan
BIR|67|Biratnagar
BJB|68|Bojnord
BJS|69|Beijing
BKI|70|Kota Kinabalu
BKK|71|Bangkok
BKS|72|Bengkulu
BLG|73|Belaga
BLR|74|Bangalore
BMO|75|Bhamo
BMU|76|Bima
BMV|77|Ban Me Thuot
BND|78|Bandar Abbas
BNP|79|Bannu
BOM|80|Mumbai
BPN|81|Balikpapan
BPX|82|Bangda
BQS|83|Blagoveschensk
BSD|84|Baoshan
BSO|85|Basco
BTH|86|Batam
BTJ|87|Banda Aceh
BTK|88|Bratsk
BTU|89|Bintulu
BUZ|90|Bushehr
BWA|91|Bhairawa
BWN|92|Bandar Seri Begawan
BXR|93|Bam
BXU|94|Butuan
BYN|95|Bayankhongor
BZL|96|Barisal
CAN|97|Guangzhou
CBO|98|Cotabato
CCJ|99|Kozhikode
