1 1198
1 2482
1198 1
1198 1054
1198 2482
1198 1970
2482 1
2482 67
2482 92
2482 195
2482 370
2482 917
2482 1191
2482 1198
2482 1228
2482 1302
2482 1533
2482 1680
2482 1970
2482 2021
2482 2164
2482 2196
2482 2302
2482 1054
2482 2084
2482 2593
2482 2626
2482 2628
2482 2694
2482 3052
2482 3080
2482 3159
2482 3189
2482 3391
2482 3512
1054 1198
1054 2482
1970 1198
1970 2482
67 2482
67 3512
92 144
92 289
92 362
92 433
92 546
92 614
92 785
92 1038
92 1175
92 1184
92 1191
92 1329
92 1450
92 1528
92 1625
92 1680
92 1908
92 2127
92 2160
92 2178
92 2196
92 2198
92 2199
92 2208
92 2302
92 2378
92 2450
92 2482
92 2593
92 2672
92 2761
92 2806
92 2962
92 3002
92 3126
92 3136
92 3168
92 3189
92 3323
92 3360
92 3380
92 3388
92 3407
92 3859
195 2164
195 2482
370 1228
370 2482
370 2626
370 2628
370 2021
917 2482
917 2628
1191 92
1191 179
1191 362
1191 548
1191 732
1191 981
1191 1099
1191 1166
1191 1192
1191 1205
1191 1328
1191 1383
1191 1414
1191 1513
1191 1563
1191 1680
1191 1736
1191 1771
1191 1820
1191 1856
1191 1902
1191 1966
1191 2003
1191 2074
1191 2127
1191 2160
1191 2229
1191 2236
1191 2250
1191 2302
1191 2371
1191 2400
1191 2478
1191 2482
1191 2593
1191 2749
1191 2759
1191 2761
1191 2773
1191 2812
1191 2886
1191 2916
1191 2962
1191 3002
1191 3126
1191 3189
1191 3591
1191 3740
1191 3758
1191 3782
1191 3788
1228 370
1228 2021
1228 2482
1228 2626
1302 2482
1302 2734
1533 2482
1533 2628
1680 19
1680 65
1680 92
1680 119
1680 122
1680 144
1680 179
1680 197
1680 277
1680 325
1680 326
1680 359
1680 375
1680 380
1680 433
1680 453
1680 487
1680 548
1680 584
1680 585
1680 592
1680 600
1680 624
1680 646
1680 664
1680 666
1680 674
1680 729
1680 732
1680 735
1680 799
1680 800
1680 860
1680 895
1680 916
1680 939
1680 962
1680 1009
1680 1093
1680 1150
1680 1175
1680 1186
1680 1191
1680 1205
1680 1289
1680 1305
1680 1348
1680 1563
1680 1675
1680 1677
1680 1736
1680 1740
1680 1775
1680 1811
1680 1873
1680 1879
1680 1908
1680 1909
